IndexNo,site_no,station_nm,state,huc_cd,LAT_GAGE,LNG_GAGE,LAT_CENT,LONG_CENT,DRNAREA,ELEV,BSHAPELFP,CSL1085LFP,I24H10Y,PRECPRIS00,SOILINDEX,LC11IMP,LC11DEV,LC11FOREST,LC11PAST,LC11CROP,LC11GRASS,LC11BARE,LC11SHRUB,LC11WATER,LC11WETLND,BegYear,EndYear,GagedPeaks,HistPks,SkewOption,EMAskewReg,EMAmean,EMAstDev,EMAskew,MSEskew,MSEgaged,RegSkew,MSEg,KENTAU,PVALUE,SENSLOPE,EMA2YR,EMA5YR,EMA10YR,EMA25YR,EMA50YR,EMA100YR,EMA200YR,EMA500YR,VARema2,VARema5,VARema10,VARema25,VARema50,VARema100,VARema200,VARema500,GLS2YR,GLS5YR,GLS10YR,GLS25YR,GLS50YR,GLS100YR,GLS200YR,GLS500YR,VARgls2,VARgls5,VARgls10,VARgls25,VARgls50,VARgls100,VARgls200,VARgls500,WT2YR,WT5YR,WT10YR,WT25YR,WT50YR,WT100YR,WT200YR,WT500YR,VARwt2,VARwt5,VARwt10,VARwt25,VARwt50,VARwt100,VARwt200,VARwt500,,,,,,,,,,,
1,2489030,"ELMERS DRAW NR COLUMBIA, MS",MS,3180004,31.2,-89.966111,31.193322,-89.963374,0.97,353,2.33,68.3,7.11,44.41,2,1.44,8.84,24.07,30.9,0,3.81,0,20.12,0.54,3.63,1955,2016,60,0,Weighted,0.137,2.502,0.257,0.279,0.12,0.112,-0.08,0.221,-0.142,0.109,-2.128,313,520,682,918,1120,1330,1570,1920,0.0012,0.0016,0.0023,0.0037,0.0053,0.0073,0.0098,0.0138,284,552,773,1090,1360,1640,1950,2390,0.0349,0.0272,0.0269,0.0304,0.0337,0.0372,0.0408,0.0475,312,522,689,936,1150,1380,1640,2020,0.0012,0.0015,0.0021,0.0033,0.0046,0.0061,0.0079,0.0107,,,,,,,,,,,
2,2489160,"KOKOMO DRAW AT KOKOMO, MISS.",MS,3180004,31.190734,-89.999807,31.198393,-90.003397,1.36,363,2.13,45.2,7.1,43.15,2.6,1.45,11.51,34.72,30.68,2.33,1.69,0,10.64,0.26,0.23,1955,1983,23,1,Weighted,0.084,2.564,0.321,0.273,0.222,0.238,-0.08,0.221,-0.107,0.492,-5,362,680,951,1370,1730,2140,2610,3320,0.0048,0.006,0.0079,0.0119,0.016,0.021,0.0271,0.0367,325,621,862,1210,1490,1790,2120,2580,0.0345,0.0268,0.0265,0.0299,0.0332,0.0366,0.0401,0.0467,357,669,930,1320,1650,2010,2400,2970,0.0042,0.0049,0.0061,0.0085,0.0108,0.0133,0.0162,0.0206,,,,,,,,,,,
3,2489200,"TEN MILE CREEK NEAR COLUMBIA, MISS.",MS,3180004,31.158513,-89.845913,31.155462,-89.946892,38.46,313,6.57,13.4,7.12,36.22,2.2,0.63,4.93,26.57,20.05,2.18,2.33,0.07,26.04,0.07,8.81,1953,1970,17,0,Weighted,-0.016,3.241,0.475,0.085,0.291,0.309,-0.08,0.221,-0.162,0.386,-76.705,1750,4380,7080,11800,16400,22000,28800,39900,0.0141,0.0183,0.0247,0.0368,0.0488,0.0634,0.0805,0.1072,2490,5080,7290,10600,13400,16400,19700,24600,0.0343,0.0267,0.0264,0.0297,0.033,0.0364,0.0399,0.0464,1940,4650,7180,11100,14500,18300,22400,28400,0.01,0.0109,0.0128,0.0164,0.0197,0.0231,0.0267,0.0324,,,,,,,,,,,
4,2489240,"LOWER LITTLE CREEK NR BAXTERVILLE, MS",MS,3180004,31.157957,-89.627016,31.178823,-89.576666,81.4,312,2.14,12.6,7.14,36.35,2.7,0.44,4.12,35.6,7.9,1.05,3.01,0.64,27.68,1.97,13.53,1961,2016,11,0,Weighted,-0.131,3.54,0.408,-0.606,0.408,0.485,-0.08,0.221,-0.164,0.533,-555,3540,7690,11400,17200,22300,28200,34700,44600,0.0159,0.0184,0.0235,0.0331,0.0424,0.0535,0.0662,0.0856,4150,8730,12700,18800,24000,29800,36100,45400,0.0347,0.027,0.0267,0.0301,0.0334,0.0369,0.0404,0.047,3720,8090,12000,18000,23200,29100,35600,45100,0.0109,0.0109,0.0125,0.0158,0.0187,0.0218,0.0251,0.0303,,,,,,,,,,,
5,2489400,"PUSHEPATAPA CREEK AT VARNADO,LA",LA,3180004,30.880741,-89.830631,31.002881,-89.957804,141.16,283,8.84,7.39,7.24,64.88,2.4,0.51,5.06,26.56,17.6,4.78,2.19,0.06,28.98,0.06,14.71,1949,1965,17,0,Weighted,-0.097,3.675,0.538,0.587,0.682,0.36,-0.17,0.121,0.088,0.65,67.333,4820,13500,22800,39600,56400,77200,103000,144000,0.0185,0.0215,0.0292,0.0432,0.0562,0.0712,0.0882,0.1136,5330,11000,16000,23400,29700,36700,44300,55400,0.0343,0.0267,0.0264,0.0297,0.033,0.0364,0.0398,0.0464,4990,12300,18900,29000,37700,47200,57600,73100,0.012,0.0119,0.0139,0.0176,0.0208,0.0241,0.0274,0.0329,,,,Actual:    [ 21300.  41200.  58000.  83000. 104000. 128000. 155000. 194000.],,,,,,,
6,2490000,"BOGUE LUSA CK NR FRANKLINTON, LA",LA,3180004,30.86824,-90.002859,30.901831,-89.987263,12,293,3.85,14.4,7.34,65.2,2.4,0.51,5.76,24.58,14.67,0.89,2.93,0.06,33.61,0.03,17.47,1949,1968,20,0,Weighted,-0.053,3.28,0.338,1.003,0.377,0.377,-0.17,0.121,-0.237,0.153,-104.167,1920,3680,5140,7330,9200,11300,13600,17000,0.0081,0.0074,0.0111,0.0184,0.0252,0.0329,0.0414,0.0539,1120,2170,3040,4290,5330,6440,7640,9350,0.034,0.0264,0.0261,0.0294,0.0326,0.0359,0.0394,0.0458,1730,3280,4390,5960,7250,8640,10100,12300,0.0065,0.0058,0.0078,0.0113,0.0142,0.0172,0.0202,0.0248,,,,  Predicted: [ 32104.76281531  58620.32471448  78871.11074029 106794.4947062,,,,,,,
7,2490105,"BOGUE LUSA CREEK AT STATE HWY 439, AT BOGALUSA,",LA,3180004,30.782409,-89.873409,30.828169,-89.983166,72.59,233,12.41,6.64,7.39,65.23,2.5,0.54,5.65,25.31,5.68,0.55,3.13,0.16,44.61,0.07,14.83,1964,1985,22,0,Weighted,-0.071,3.345,`,0.121,0.234,0.234,-0.17,0.121,0.091,0.573,34.625,2230,4380,6190,8920,11300,13900,16800,21100,0.0059,0.0072,0.0094,0.0137,0.0178,0.0227,0.0285,0.0374,3260,6480,9190,13100,16500,20100,24000,29600,0.0339,0.0264,0.026,0.0293,0.0325,0.0359,0.0393,0.0458,2360,4760,6870,10100,12900,16000,19500,24600,0.005,0.0057,0.0069,0.0093,0.0115,0.0139,0.0165,0.0206,,,,,,,,,,,
8,2490250,"BOGUE CHITTO NR BROOKHAVEN, MS",MS,3180005,31.544616,-90.476763,31.581382,-90.490508,28.33,467,7.12,6.44,7.02,55.6,3.8,3.91,17.36,31.39,19.28,1.6,3.53,0.04,10.97,0.44,2.63,1953,1970,17,0,Weighted,0.043,3.38,0.346,0.219,0.299,0.305,-0.08,0.221,-0.228,0.216,-181.667,2380,4680,6690,9800,12600,15700,19300,24800,0.0075,0.0097,0.0131,0.0195,0.0259,0.0336,0.0426,0.0567,1670,3170,4380,6110,7530,9040,10700,13000,0.0338,0.0263,0.0259,0.0292,0.0324,0.0357,0.0391,0.0456,2230,4210,5800,8110,10000,12000,14200,17300,0.0061,0.0071,0.0087,0.0117,0.0144,0.0173,0.0204,0.0253,,,,,,,,,,,
9,2490300,"BIG CREEK AT BOGUE CHITTO, MS",MS,3180005,31.446284,-90.456763,31.458368,-90.537375,55.16,447,7.54,5.37,7.1,52.11,3.6,0.73,5.75,36.36,19.64,1.03,4.91,0.04,11.56,0.14,5.06,1952,1970,19,0,Weighted,-0.175,3.465,0.416,-0.342,0.263,0.353,-0.08,0.221,-0.105,0.551,-48.333,3000,6580,9760,14700,19000,23900,29400,37500,0.0103,0.0109,0.0146,0.0218,0.0289,0.0373,0.0471,0.0621,2550,4920,6860,9660,12000,14500,17100,20900,0.0338,0.0263,0.0259,0.0292,0.0324,0.0357,0.0391,0.0456,2890,6040,8600,12300,15300,18500,21900,26800,0.0079,0.0077,0.0093,0.0125,0.0153,0.0182,0.0214,0.0263,,,,,,,,,,,
10,2490550,"MIDDEL FORK HICKORY FLAT NR TYLERTOWN, MISS.",MS,3180005,31.161289,-90.218147,31.177023,-90.221509,1.48,389,4.57,34.6,7.05,46.14,2.3,1.71,9.94,15.36,43.48,3.67,4.1,0,12.22,0,0.28,1901,1984,29,1,Weighted,0.098,2.676,0.258,0.348,0.082,0.202,-0.08,0.221,0.217,0.103,7.718,470,780,1020,1370,1660,1970,2310,2810,0.0025,0.003,0.0036,0.0049,0.0063,0.0081,0.0105,0.0143,322,605,833,1160,1420,1700,2000,2420,0.0343,0.0267,0.0263,0.0297,0.033,0.0363,0.0398,0.0464,458,760,995,1340,1620,1920,2240,2710,0.0023,0.0027,0.0032,0.0042,0.0053,0.0066,0.0083,0.0109,,,,,21300,41200,58000,83000,104000,128000,155000
11,2490700,"UNION CREEK NEAR TYLERTOWN, MISS.",MS,3180005,31.163511,-90.130089,31.190395,-90.159764,12.46,378,4.8,15.4,7.07,45.43,2.6,0.72,5.58,30.62,28.02,1.56,3.23,0,12.02,0.23,0.66,1877,1969,16,1,Weighted,-0.012,2.987,0.489,0.194,0.188,0.319,-0.08,0.221,-0.3,0.115,-66.904,974,2510,4110,6950,9750,13200,17500,24400,0.015,0.0144,0.0155,0.0188,0.023,0.0287,0.036,0.0483,1170,2290,3210,4550,5660,6860,8150,10000,0.034,0.0264,0.0261,0.0294,0.0327,0.036,0.0394,0.0459,1030,2430,3750,5890,7790,9870,12100,15400,0.0104,0.0093,0.0097,0.0115,0.0135,0.016,0.0188,0.0235,,,,,32104,58620,78871,106794,106794,,
